name,online_order,book_table,rate,votes,location,cost_two,dining_type,cuisines
Jalsa,Yes,Yes,4.1,775,Banashankari,800.0,Buffet,"North Indian, Mughlai, Chinese"
Spice Elephant,Yes,No,4.1,787,Banashankari,800.0,Buffet,"Chinese, North Indian, Thai"
San Churro Cafe,Yes,No,3.8,918,Banashankari,800.0,Buffet,"Cafe, Mexican, Italian"
Addhuri Udupi Bhojana,No,No,3.7,88,Banashankari,300.0,Buffet,"South Indian, North Indian"
Grand Village,No,No,3.8,166,Basavanagudi,600.0,Buffet,"North Indian, Rajasthani"
Timepass Dinner,Yes,No,3.8,286,Basavanagudi,600.0,Buffet,North Indian
Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,Mysore Road,800.0,Buffet,"North Indian, South Indian, Andhra, Chinese"
Onesta,Yes,Yes,4.6,2556,Banashankari,600.0,Cafes,"Pizza, Cafe, Italian"
Penthouse Cafe,Yes,No,4.0,324,Banashankari,700.0,Cafes,"Cafe, Italian, Continental"
Smacznego,Yes,No,4.2,504,Banashankari,550.0,Cafes,"Cafe, Mexican, Italian, Momos, Beverages"
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1,402,Banashankari,500.0,Cafes,Cafe
Cafe Shuffle,Yes,Yes,4.2,150,Banashankari,600.0,Cafes,"Cafe, Italian, Continental"
The Coffee Shack,Yes,Yes,4.2,164,Banashankari,500.0,Cafes,"Cafe, Chinese, Continental, Italian"
Caf-Eleven,No,No,4.0,424,Banashankari,450.0,Cafes,"Cafe, Continental"
San Churro Cafe,Yes,No,3.8,918,Banashankari,800.0,Cafes,"Cafe, Mexican, Italian"
Cafe Vivacity,Yes,No,3.8,90,Banashankari,650.0,Cafes,Cafe
Catch-up-ino,Yes,No,3.9,133,Banashankari,800.0,Cafes,"Cafe, Fast Food, Continental, Chinese, Momos"
Kirthi's Biryani,Yes,No,3.8,144,Banashankari,700.0,Cafes,"Chinese, Cafe, Italian"
T3H Cafe,No,No,3.9,93,Banashankari,300.0,Cafes,"Cafe, Italian, American"
360 Atoms Restaurant And Cafe,Yes,No,3.1,13,Banashankari,400.0,Cafes,"Cafe, Chinese, Continental, Italian"
The Vintage Cafe,Yes,No,3.0,62,Banashankari,400.0,Cafes,"Cafe, French, North Indian"
Woodee Pizza,Yes,No,3.7,180,Banashankari,500.0,Cafes,"Cafe, Pizza, Fast Food, Beverages"
Cafe Coffee Day,No,No,3.6,28,Banashankari,900.0,Cafes,"Cafe, Fast Food"
My Tea House,Yes,No,3.6,62,Banashankari,600.0,Cafes,"Italian, Fast Food, Cafe, European"
Hide Out Cafe,No,No,3.7,31,Banashankari,300.0,Cafes,Cafe
CAFE NOVA,No,No,3.2,11,Banashankari,600.0,Cafes,"Cafe, Bakery"
Coffee Tindi,Yes,No,3.8,75,Banashankari,200.0,Cafes,"Cafe, South Indian"
Sea Green Cafe,No,No,3.3,4,Banashankari,500.0,Cafes,"Cafe, Fast Food, Beverages"
Cuppa,No,No,3.3,23,Banashankari,550.0,Cafes,"Cafe, Fast Food"
Srinathji's Cafe,No,No,3.8,148,Basavanagudi,550.0,Cafes,"North Indian, Cafe, Chinese, Fast Food"
Redberrys,Yes,No,4.0,219,Basavanagudi,600.0,Cafes,"Cafe, Italian"
Foodiction,Yes,No,2.8,506,Banashankari,500.0,Delivery,"North Indian, Fast Food, Chinese, Burger"
Sweet Truth,Yes,No,3.9,35,Banashankari,500.0,Delivery,"Bakery, Desserts"
Ovenstory Pizza,Yes,No,3.9,172,Banashankari,750.0,Delivery,Pizza
Faasos,Yes,No,4.2,415,Banashankari,500.0,Delivery,"North Indian, Biryani, Fast Food"
Behrouz Biryani,Yes,No,3.9,230,Banashankari,650.0,Delivery,Biryani
Fast And Fresh,Yes,No,2.8,91,Banashankari,400.0,Delivery,"North Indian, Chinese, Fast Food"
Szechuan Dragon,Yes,No,4.2,1647,Banashankari,600.0,Delivery,"Chinese, Thai, Momos"
Empire Restaurant,Yes,No,4.4,4884,Jayanagar,750.0,Delivery,"North Indian, Mughlai, South Indian, Chinese"
Maruthi Davangere Benne Dosa,Yes,No,4.0,17,Banashankari,150.0,Delivery,South Indian
